"vimeo_video_id","panda_video_id"
https://player.vimeo.com/video/1000292397,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=11af9605-1dd8-4b24-962a-998ca99163e8
https://player.vimeo.com/video/1000292425,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=9bbbbc87-085b-44ed-8e1a-cb02e314afa1
https://player.vimeo.com/video/1000292437,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=ab8cb7cd-c870-47ce-abf7-74a9ab18fa81
https://player.vimeo.com/video/1000292463,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=9261480b-f19d-45cc-a69d-4bc6358d5b91
https://player.vimeo.com/video/1000294167,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=5a019949-b515-4859-bad1-743fb4038c5a
https://player.vimeo.com/video/1000305333,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=5d18f128-8243-4c35-8e43-d09743886b0e
https://player.vimeo.com/video/1000305361,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=1009f5e5-ec54-4e1f-a082-bd4279c6f2a1
https://player.vimeo.com/video/1000305395,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=5f640a5e-0354-4678-bc70-859138d35be0
https://player.vimeo.com/video/1000305427,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=d8d74a41-6647-4b1b-841b-075f14490459
https://player.vimeo.com/video/1000305452,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=9511d031-0e82-4117-9e24-41835d6ed53b
https://player.vimeo.com/video/1000305522,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=b74904e3-4118-4bdd-8f09-46f08fda2c3b
https://player.vimeo.com/video/1000305543,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=4369225d-1c85-4e39-8669-d961b7280aaa
https://player.vimeo.com/video/1000305569,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=d2a184d8-2bc5-4aba-8adf-0f8677a79a4e
https://player.vimeo.com/video/1000305630,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=64832ad4-04f6-4075-a665-34fa78d9afee
https://player.vimeo.com/video/1000305646,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=334d8bd6-e42c-46f8-a8b2-388762593e11
https://player.vimeo.com/video/1000312752,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=7a9c22ba-e13b-4dda-9886-1743bc73adad
https://player.vimeo.com/video/1000312784,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=7de1e90a-a9a8-40dc-912f-414b95bd6382
https://player.vimeo.com/video/1000312804,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=7c1c62cc-806d-4e63-9ccd-e0adc5ca06be
https://player.vimeo.com/video/1000312824,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=1e15c616-95db-4cec-a19f-a2552fa5dd77
https://player.vimeo.com/video/1000312865,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=e39f05c3-6951-4ae0-bdbb-a0578e08b93b
https://player.vimeo.com/video/1000312888,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=a7cf2d4e-9258-4472-9fcd-3332f9825924
https://player.vimeo.com/video/1000314078,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=51791e08-19f1-412e-a6c0-3815623e9a12
https://player.vimeo.com/video/1000318805,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=fb39a107-88dc-40b2-bf66-283abd1bc050
https://player.vimeo.com/video/1000318836,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=e1730b6b-dc76-441b-9cce-465e435f234b
https://player.vimeo.com/video/1000318847,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=98fbd792-6693-43a9-af04-93757b8e8dbb
https://player.vimeo.com/video/1000318875,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=ed2d5c2c-f88c-4a68-83fe-d13ad3e34333
https://player.vimeo.com/video/1000318914,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=eebf8c63-6a99-48b8-93b1-8e7552518481
https://player.vimeo.com/video/1000318946,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=7b15b065-1952-443c-a10b-8ec36045d791
https://player.vimeo.com/video/1000318970,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=ad8eeda0-f663-4375-a1c9-8ebc8820cc83
https://player.vimeo.com/video/1000323822,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=5b948d1a-78f7-43d1-bcb7-d92c51979f54
https://player.vimeo.com/video/1000329015,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=2100e718-19b3-4861-8849-229c6deac91a
https://player.vimeo.com/video/1000329040,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=470b8bc7-8707-4d24-a2a8-b0fc5a315899
https://player.vimeo.com/video/1000329064,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=f8a4f786-262c-40ff-8d4e-34801e0f206c
https://player.vimeo.com/video/1000329098,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=938f7e0b-8f2a-4f18-afee-283e58e6bb63
https://player.vimeo.com/video/1000329118,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=d4c7bfbf-cc9f-4af6-9783-979ca3687336
https://player.vimeo.com/video/1000329136,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=a95b6bd0-4319-4776-9f5b-1bdab5a3976f
https://player.vimeo.com/video/1000333400,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=02480ab8-95c5-4c72-b07b-cac3a8f4e6b2
https://player.vimeo.com/video/1000343759,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=7f97f050-3d60-4dc6-bb91-5034100f4d9a
https://player.vimeo.com/video/1000343847,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=0108cca8-4755-453f-b96b-3448c75bbcb9
https://player.vimeo.com/video/1000343911,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=ea0f8274-5598-441b-8189-9ecb6e14613c
https://player.vimeo.com/video/1000343972,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=ea0f8274-5598-441b-8189-9ecb6e14613c
https://player.vimeo.com/video/1000344008,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=bd4d0de0-b4c1-4301-b930-768bfdf82bc1
https://player.vimeo.com/video/1000344086,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=a640f81f-47c1-490d-84be-e5aab3bda6d5
https://player.vimeo.com/video/1000344188,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=d5bec565-981c-40c6-99b3-9c4302f17e62
https://player.vimeo.com/video/1000349071,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=adbac9ab-beb4-4fc5-a3c0-e2159a7d9fbe
https://player.vimeo.com/video/1000354067,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=989bbcfe-9b03-41b6-a78c-009f7f905926
https://player.vimeo.com/video/1000354119,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=f97392cf-8702-40b8-b4c2-b07d985a3f3e
https://player.vimeo.com/video/1000354151,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=e3c1cbb2-c95f-47bc-a49d-140fea92e7da
https://player.vimeo.com/video/1000354165,https://player-vz-4cab7bf9-47f.tv.pandavideo.com.br/embed/?v=55d3c1f4-7fbf-40fa-81f3-6e17fbb6b58c
